0,1,2,3,4,5,6,7,8,9,10
"Box #5
",,,,,,,,,,
,"Overall! Length
",,"28 1/4
","11-1-7749
",,,"5 4
","“x
",,"2x
"
,"Riser Leg Offset
",,"1/4
","11-1-7719
",,"G4
","V4
",,,
,"Glue - Riser set - Check
thread presents
","GO/NO GO
","11-1-7719
",,"B2/B5
",,,,,
"Inspector: ld . G fl Amy

",,,,,,,,,,
"| re
visual Inspection Notes:

",,,,,,,,,,
"Box #5
",,,,,,,,,,
,"Overall Length
","47 1/2
","48 1/2
","11-1-7729
",,,"7

TOA
","47

AN,
",,
,"Webbing Leg Offset
",,"1/4
","11-1-7729
",,,,,,
,"Riser Set Offset
",,"1/2
","11-1-7729
",,,,,,
,"Glue - Riser Set - 11R - Check
for Thread presents

","GO/NO GO
","11-1-7729
",,"Several
",,,,,
,"Glue - Spreader bar - Check
for ""WW"" thread
","GO/NO GO
","11-1-7729
",,"Several
",,,,,
