0,1,2,3,4,5,6,7,8,9,10
,"Overall Length

","27 3/4
",,"11-1-7719

",,,"29%

",,,
,"Riser Leg Offset

",,"1/4
","11-1-7719
",,,"oN

Ge

",,,
,"Glue - Riser set - Check
thread presents

","| GO/NO GO

","11-1-7719
",,"B2/B5
",,,,,
"_ Inspection Notes:

",,,,,,,,,,
"Box #4
",,,,,,,,,,
"i
","Overal Length
","47 1/2
",,"11-1-7729
",,,,"47%
",,"42°/¢.
"
"Zi
","Webbing Leg Offset
","1/4
","11-1-7729
",,,,,,,
"Riser Set Offset
",,"1/2
","11-1-7729
",,,,,,,
,"Glue - Riser Set - 11R - Check

for Thread presents
","GO/NO GO
","11-1-7729
",,"Several
",,,,,
,"Glue - Spreader bar - Check
for ""WW"" thread
","GO/NO GO

","11-1-7729
",,"Several
",,,,,
