0,1,2,3,4,5,6,7,8,9,10
"Box #6

","T11 Risers

","DoM: &)27z.
","Inspection Date: 4fizizz

",,,,,,,
,,,,,"Sheet
","Zone

","Top Left
","Bottom Left

","Top Right
",
,"Third Tab Placement

",,,"11-1-7719
",,,,,,
,"Label Placement

",,,"11-1-7719
",,"FS
",,,"1O3/x
",
,"Log Record Pocket Placement

",,,"11-1-7719

",,,,,,
,"Glue - Riser set - Check thread
presents

","Go/No-Go

","11-1-7719
",,"B2/B5
","GO
",,"GO
",,
"Visual Inspection + €ariopy Release Functional w/ Harness (GO/NO GO): ZO

",,,,,,,,,,
,,,,,,,,,,
"Box #6
","T11R Risers

","DoM:

qlez

","Inspection Date: 4[is/zZ

",,,,,,,
,,"Drawing ©
","Sheet
",,"Top Left
","Bottom Left

","Top Right |

",,,
,"‘Length of Hook / Pile Tape

",,,"11-1-7729

",,,,"ph Fe

","1tYs

","14%

"
,"Hook / Pile Tape Offset

",,"1/4
",,,,,,,
"6 |Riser Webbing Fold Over

",,,"11-1-7729

",,,,,,,
,"Spreader Bar Length
",,,"11-1-7729
",,,,,,
,"Glue - Riser Set - 11R - Check for
Thread presents
","Go/no go

","11-1-7729
",,"Several
",,,,,
,"Glue - Spreader bar - Check for
“WW"" thread

","Go/no go
","11-1-7729
",,"Several
",,,,,
"Visual Inspection (GO/NO GO):GO 40 :

",,,,,,,,,,
"Inspector: —zsZLy
",,,,,,,,,,
