0,1,2,3,4,5,6,7,8,9,10,11
"Box #1
","T11 Risers

","DoM: $)z=z
","Inspection Date: Q/ tz /zz.
",,,,,,,,
,"Package 5

",,,,,,,"Bottom Left
",,,
,"Overall Length
","27 3/4
","28 1/4
","11-1-7719
",,,"26
",,,,
,"Riser Leg Offset

",,"1/4
","11-1-7719
",,,,,,,
,"Glue - Riser set - Check thread
presents
","Go/No-Go
","11-1-7719
",,"B2/B5
",,"SO
",,"CrO
",,
"Visual Inspection + Canopy Release Functional w/ Harness (GO/NO GO) :
",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Box #1
","T11R Risers
","DoM: q] TT

","Inspection Date: 4 | izle

",,,,,,,,
,,"Drawing
",,,,"Bottom Left

",,,,,
,"Overall Length
","47 1/2
","48 1/2
","11-1-7729
",,,,"AE
","ag

","tS
",
,"Webbing Leg Offset

",,"1/4
","11-1-7729
",,"C1
",,,,,
,"Riser Set Offset
",,"1/2
","11-1-7729
",,,,,,,
,"Glue - Riser Set - 11R - Check for
Thread presents
","Go/no go

","11-1-7729
",,"Several
",,,,,,
,"Glue - Spreader bar - Check for
""WW"" thread
","Go/no go
","11-1-7729
",,"Several
",,,,,,
,,,,,,,,,,,
"Inspector: Vandevorda—-—

",,,,,,,,,,,
