0,1,2,3,4,5,6,7,8,9,10
,"Overall Length
",,,"11-1-7719
",,,"(ak

","we
",,"2x
"
,"Riser Leg Offset
",,"1/4
","11-1-7719
",,"G4
",,,,
,"Glue - Riser set - Check
thread presents
","GO/NO GO

","11-1-7719
",,"B2/B5
",,"Ge
",,,
"Visual Inspection Notes:
",,,,,,,,,,
"Box #6
",,,,,,,,,,
"Overall Length
","48 1/2
","11-1-7729
","%
7?
4

",,,,,,,
,"Webbing Leg Offset

",,"1/4
","11-1-7729
",,,,,,
,"Riser Set Offset
",,"1/2
","11-1-7729
",,,"X

",,,
,"Glue - Riser Set - 11R - Check
for Thread presents

","GO/NO GO

","11-1-7729
",,"Several
",,,,,
,"Glue - Spreader bar - Check
for ""WW"" thread
","GO/NO GO
","11-1-7729
",,"Several
","®
",,,,
"Visual Inspection (GO/NO GO): Go
— Chu

Inspector:

",,,,,,,,,,
"Visual Inspection Notes: 7

",,,,,,,,,,
