0,1,2,3,4,5,6,7,8
"Box
","T11 Bridle
",,,"Inspection Date:c,.. 2 24
","Inspector: a AOL
",,,
"Package 3
",,,"Drawing

","Sheet
",,"Top
","Bottom
",
,"Sleeve Width
","1 1/4
","1 1/2
","11-1-7062
",,,"yf
",
"_—
C4
‘

cti

ets

1
my

ual I

elt

i

4
VIS

.
",,,,,,,,
"Box
#5
","Deployment Sleeve

","DoM: G( Lie
","Inspection Date: 12 laa
",,,,,
"Package 3
",,,"Drawing
","Sheet
","Zone

","Left
",,
,"Bottom Width
","Pra

","16 1/2
","11-1-7061
",,,,
,"Top Width
","12 1/4
",,"11-1-7061
",,"El
","(27°
",
,"Overall Width
","12 1/2

","13 1/2
","11-1-7061
",,,,"NOTE: 24"" from flap
"
,"Overall Length
","223
","229

","11-1-7061
",,"C4
",,"NOTE: 3-5lb Tension
"
,,,,,,,,
