0,1,2,3,4,5,6,7,8,9,10
,"Overall! Length
","27 3/4
","28 1/4
","11-1-7719
",,,"Ly
","25
",,
,"Riser Leg Offset
",,"1/4
","11-1-7719
",,,,,,
,"Glue - Riser set - Check
thread presents
","GO/NO GO
","11-1-7719
",,"B2/B5
",,,,"Go
",
"= Inspection Notes:
",,,,,,,,,,
"Box #1
",,,,,,,,,,
,"Overall Length

","47 1/2
","48 1/2
","11-1-7729
",,,,,"47%
","74
474
"
,"Webbing Leg Offset

",,"1/4
","11-1-7729
",,,,,,
,"Riser Set Offset

",,"1/2
","11-1-7729
",,,,,,
,"Glue - Riser Set - 11R - Check
for Thread presents

","GO/NO GO

","11-1-7729
",,"Several
","Go
",,,,
,"Glue - Spreader bar - Check
for ""WW"" thread

","GO/NO GO

","11-1-7729
",,"Several

","G2
",,,,
"Visual Inspection Notes: Oo }

",,,,,,,,,,
