0,1,2,3,4,5,6,7,8,9,10
"Box #5

","T11 Risers

","DoM: 3/zz

","Inspection Date: q[isiz<

",,,,,,,
,,,,,,,"Top Left
","Bottom Left

","Top Right
",
,"Log Record Pocket Placement
",,,"11-1-7719
",,,,,,
,"Reinforcing Tape Placement —

","3/4
",,"11-1-7719
",,,,">,

",,
,"4-Point Stitching Length _|

",,,"11-1-7719
",,,,,,
,"Glue - Riser set - Check thread
presents

","| Go/No-Go |

","11-1-7719
",,"B2/B5
",,,,"GO
",
"Visual Inspection + Canapy Release Functional w/ Harness (GO/NO GO) : GO

",,,,,,,,,,
"Inspector: ty ~m@e
",". \
",,,,,,,,,
,"T11R Risers
","Inspection Date: 4/:z/zz
",,,,,,,,
,,"Drawing |

","Sheet
",,"Top Left
","Bottom Left!

","Top Right
",,,
,"Hook / Pile Tape Offset
",,"1/4
",,,,,,,
,"Center WW Stitch Location

",,,"11-1-7729

",,,,,,
,"Glue - Riser Set - 11R - Check for
Thread presents

","Go/no go

","11-1-7729
",,"Several
",,,,,
,"Glue - Spreader bar - Check for
""WW"" thread
","Go/no go

","11-1-7729
",,"Several
","GO
",,,,
,,,,,,,,,,
"Inspector: HFS

",,,,,,,,,,
