0,1,2,3,4,5,6,7,8,9,10
"Box #8

","T11 Risers

","DoM: 3] 2z
","Inspection Date: Q/is]z7.

",,,,,,,
,,,,,,,"Top Left
","Bottom Left

","Top Right

",
,"4-Point Stitching Length

",,,,,"E2
",,,,
,"4-Point Stitching Placement

",,,"11-1-7719

",,,,,"35%
",
,"Glue - Riser set - Main

",,"11-1-7719
",,,"GO
",,,,
"Visual Inspection + Cafiopy Release Functional w/ Harness (GO/NO GO): Ge

",,,,,,,,,,
,,,,,,,,,,
"Box #8
","T11R Risers
","DoM:

Qzz

","Inspection Date: 9 ixf/zez_

",,,,,,,
,,"Drawing |

",,,"Top Left
","Bottom Left

","Top Right

",,,
,"Overall Length
","47 1/2
","48 1/2
","11-1-7729

",,,,"dg
",,"43 4
"
,"Webbing Leg Offset
",,"1/4
","11-1-7729

",,,,,,
,"Riser Set Offset

",,"1/2
","11-1-7729
",,,,,,
,"Glue - Riser Set - 11R - Check for
Thread presents

","Go/no go

","11-1-7729

",,"Several
",,,,,
,"Glue - Spreader bar - Check for
""WW"" thread

","Go/no go

","11-1-7729
","several
",,,,,,
"Visual Inspection (GQ/NO GO): <7
",,,,,,,,,,
"Inspector:—7 ¢

",,,,,,,,,,
